ID,Word,Sentence,Correct Sense,Definition
1,bank,She deposited her paycheck at the bank on Friday afternoon.,financial institution,an organization that stores and lends money
2,bank,He applied for a mortgage at the local bank.,financial institution,an organization that stores and lends money
3,bank,The bank approved his loan request within two days.,financial institution,an organization that stores and lends money
4,bank,They opened a joint account at the bank downtown.,financial institution,an organization that stores and lends money
5,bank,The bank charges a monthly fee for low-balance accounts.,financial institution,an organization that stores and lends money
6,bank,She transferred funds between accounts at the bank.,financial institution,an organization that stores and lends money
7,bank,The bank offered competitive interest rates on savings.,financial institution,an organization that stores and lends money
8,bank,He withdrew cash from the bank before the weekend.,financial institution,an organization that stores and lends money
9,bank,The bank notified her of suspicious activity on her account.,financial institution,an organization that stores and lends money
10,bank,They met with a financial advisor at the bank.,financial institution,an organization that stores and lends money
11,bank,The new bank branch opened on the high street last month.,financial institution,an organization that stores and lends money
12,bank,She paid off her credit card balance at the bank.,financial institution,an organization that stores and lends money
13,bank,The bank increased its prime lending rate.,financial institution,an organization that stores and lends money
14,bank,He set up automatic payments through his bank.,financial institution,an organization that stores and lends money
15,bank,The bank's mobile app makes transfers very convenient.,financial institution,an organization that stores and lends money
16,bank,He sat on the bank of the river watching the sunset.,river bank,the sloping land beside a body of water
17,bank,The children played on the grassy bank near the stream.,river bank,the sloping land beside a body of water
18,bank,Wildflowers grew along the bank of the canal.,river bank,the sloping land beside a body of water
19,bank,She spread a blanket on the bank for a picnic.,river bank,the sloping land beside a body of water
20,bank,The fisherman stood at the bank casting his line.,river bank,the sloping land beside a body of water
21,bank,The boat was tied to a post on the bank.,river bank,the sloping land beside a body of water
22,bank,Heavy rain caused the bank to erode over time.,river bank,the sloping land beside a body of water
23,bank,Ducks waddled along the muddy bank of the pond.,river bank,the sloping land beside a body of water
24,bank,"Trees lined the bank, providing shade in summer.",river bank,the sloping land beside a body of water
25,bank,He found smooth pebbles along the bank of the creek.,river bank,the sloping land beside a body of water
26,bank,The bank of the river was steep and slippery after rain.,river bank,the sloping land beside a body of water
27,bank,Otters were spotted playing on the bank at dawn.,river bank,the sloping land beside a body of water
28,bank,She sketched the view from the opposite bank.,river bank,the sloping land beside a body of water
29,bank,The flood waters reached the top of the bank.,river bank,the sloping land beside a body of water
30,bank,Reeds grew thickly along the bank of the lake.,river bank,the sloping land beside a body of water
31,bank,The pilot banked the aircraft sharply to the left.,to tilt,to tilt an aircraft or vehicle sideways when turning
32,bank,The plane banked smoothly before lining up for landing.,to tilt,to tilt an aircraft or vehicle sideways when turning
33,bank,He banked the car around the curve at speed.,to tilt,to tilt an aircraft or vehicle sideways when turning
34,bank,The fighter jet banked steeply during the aerial display.,to tilt,to tilt an aircraft or vehicle sideways when turning
35,bank,She watched the eagle bank on a warm thermal current.,to tilt,to tilt an aircraft or vehicle sideways when turning
36,bank,The helicopter banked to avoid the tall building.,to tilt,to tilt an aircraft or vehicle sideways when turning
37,bank,The stunt pilot banked the biplane into a steep dive.,to tilt,to tilt an aircraft or vehicle sideways when turning
38,bank,The aircraft banked right as it approached the runway.,to tilt,to tilt an aircraft or vehicle sideways when turning
39,bank,He banked the motorbike through the winding mountain road.,to tilt,to tilt an aircraft or vehicle sideways when turning
40,bank,The glider banked gracefully in the afternoon sky.,to tilt,to tilt an aircraft or vehicle sideways when turning
41,bank,The pilot banked to give passengers a better view.,to tilt,to tilt an aircraft or vehicle sideways when turning
42,bank,The small plane banked hard to avoid the storm clouds.,to tilt,to tilt an aircraft or vehicle sideways when turning
43,bank,She banked the drone to capture a new angle.,to tilt,to tilt an aircraft or vehicle sideways when turning
44,bank,The simulator let him practice banking the aircraft safely.,to tilt,to tilt an aircraft or vehicle sideways when turning
45,bank,The commercial jet banked over the ocean before descending.,to tilt,to tilt an aircraft or vehicle sideways when turning
