Word,Sentence,Correct Sense,Definition,
Abacus,The child used an abacus during arithmetic practice.,Tool,Manual counting device with beads,
Abacus,The museum displayed an ancient abacus from Asia.,Artifact,Historical calculating instrument,
Abbot,The abbot guided the monastery community.,Leader,Head of a monastery,
Abbot,The abbot appeared in medieval records as a landholder.,Title Holder,Religious figure with administrative authority,
Abdomen,The surgeon examined the abdomen carefully.,Body Part,Area between chest and pelvis,
Abdomen,The insect’s abdomen expanded after feeding.,Anatomical Segment,Rear section of an insect body,
Aberration,The image distortion was caused by optical aberration.,Optical Defect,Failure in image clarity,
Aberration,His behavior was considered an aberration from normal conduct.,Deviation,Departure from expected pattern,
Ablution,Ritual ablution is performed before the ceremony.,Cleansing Act,Washing for ceremonial purity,
Ablution,The ablution of tools is required in sterile labs.,Sanitation Process,Cleaning procedure,
Abode,The hermit’s abode was deep in the forest.,Dwelling,Place of residence,
Abode,"In law, the document specified his legal abode.",Residence Status,Officially recognized home location,
Abrasion,The skin abrasion healed after a few days.,Injury,Superficial scrape on skin,
Abrasion,Wind abrasion shaped the desert rocks.,Erosion,Surface wearing caused by friction,
Abscess,The doctor treated the dental abscess immediately.,Infection,Pus-filled inflammation,
Abscess,The abscess on the plant stem affected growth.,Biological Swelling,Localized infected area,
Abstract,,Summary,A brief overview of a document.,
Abstract,Modern art can be abstract.,Non-Representational,Not depicting real objects directly.,
Abstractor,The abstractor prepared the title report.,Legal Professional,A person who summarizes property records.,
Abstractor,The abstractor condensed the article.,Summarizer,One who creates summaries.,
Abundance,There was an abundance of fruit in the orchard.,Quantity,Large amount,
Abundance,The ecosystem shows abundance of microbial life.,Density,High presence of organisms,
Academy,She studied at a military academy.,School,An educational institution.,
Academy,The academy awarded the prize.,Organization,A society promoting a field of study.,
Acanthus,The building featured acanthus carvings on its columns.,Ornament,Decorative leaf motif,
Acanthus,The acanthus plant grows in Mediterranean regions.,Plant,Spiny-leaf herbaceous plant,
Accelerator,The driver pressed the accelerator.,Vehicle Control,Pedal that increases speed.,
Accelerator,The startup joined an accelerator.,Business Program,Organization helping startups grow.,
Access,Employees need access to the database.,Permission,The right to enter or use something.,
Access,The mountain is difficult to access.,Approach,To reach or enter a place.,
Acclivity,The hikers climbed the steep acclivity slowly.,Slope,Upward incline,
Acclivity,The road’s acclivity made driving difficult.,Terrain Feature,Rising ground surface,
Accommodation,The hotel provides accommodation.,Lodging,A place to stay.,
Accommodation,The eye changes accommodation to focus.,Biological Adjustment,Adjustment of vision.,
Account,She opened a bank account.,Financial Record,An arrangement with a bank.,
Account,His account of the event was accurate.,Narrative,A description of an event.,
Accretion,The shoreline changed due to sediment accretion.,Buildup,Gradual accumulation of material,
Accretion,The accretion of knowledge improved her expertise.,Growth,Progressive increase,
Ace,She served an ace in tennis.,Winning Serve,A serve untouched by the opponent.,
Ace,He is an ace pilot.,Expert,A highly skilled person.,
Acetone,The lab used acetone for cleaning samples.,Solvent,Volatile chemical compound,
Acetone,Excess acetone was detected in the mixture.,Substance,Organic solvent compound,
Acorn,The squirrel stored an acorn for winter.,Seed,A nut produced by oak trees.,
Acorn,The artist carved an acorn design on wood.,Decoration,A shape inspired by a tree seed.,
Acoustic,The hall was designed for excellent acoustic performance.,Sound Quality,Relating to sound behavior,
Acoustic,The acoustic of the cave amplified footsteps.,Sound Property,Natural sound resonance,
Acquisition,The company announced an acquisition.,Business Purchase,Buying another company.,
Acquisition,Language acquisition begins early.,Learning Process,Gaining knowledge or skills.,
Acreage,The farmland spans a large acreage.,Land Measurement,Area of land,
Acreage,The estate’s acreage includes forest and pasture.,Property Size,Total land extent,
Acrobat,The acrobat performed high above the stage.,Performer,A person skilled in physical tricks.,
Acrobat,The circus hired an acrobat.,Entertainer,Someone who performs for an audience.,
Acrobatics,The performer demonstrated advanced acrobatics.,Performance Skill,Gymnastic movements,
Acrobatics,The bird’s acrobatics in flight impressed observers.,Motion Skill,Agile movement in air,
Act,The actor forgot his act.,Performance,An entertainment performance.,
Act,Congress passed an act.,Law,A formal piece of legislation.,
Act,Please act responsibly.,Behave,To conduct oneself.,
Actor,The actor won an award.,Performer,A person who performs in plays or films.,
Actor,The company is a major actor in the market.,Participant,An influential participant.,
Actuary,The actuary calculated insurance risk models.,Profession,Risk assessment specialist,
Actuary,The actuary revised projections after new data.,Analyst Role,Statistical evaluator,
Acuity,Her visual acuity is exceptional.,Sharpness,Clarity of perception,
Acuity,The doctor noted mental acuity in the patient.,Cognitive Sharpness,Mental clarity,
Adapter,Use an adapter for the plug.,Connector,Device joining incompatible parts.,
Adapter,The novel's adapter changed the ending.,Converter,Person who modifies a work.,
Address,The president delivered an address to the nation.,Speech / Formal Discourse,A formal speech delivered to an audience,
Address,Please write your home address on this form.,Location Details,The particulars of the place where someone lives or an organization is situated,
Address,We need to address the safety concerns immediately.,Handle / Deal With,Think about and begin to deal with an issue or problem,
Addressable,The memory is addressable by byte.,Computing Property,Able to be accessed by an address.,
Addressable,The issue is addressable through policy.,Solvable,Capable of being dealt with.,
Admission,Admission to the museum is free.,Entry,Permission to enter.,
Admission,His admission surprised everyone.,Confession,A statement acknowledging something.,
Admission,Entry requires paid admission.,Entrance Fee,Permission or payment to enter.,
Admission,His admission surprised everyone.,Confession,An acknowledgment of truth.,
Adrenal,The adrenal response triggered sudden energy.,Physiological,Relating to hormone glands,
Adrenal,Adrenal activity increases under stress conditions.,Biological Function,Hormone-related response,
Aegis,The project operated under government aegis.,Protection,Sponsorship or support,
Aegis,The organization functions under academic aegis.,Authority,Guiding supervision,
Aerie,The eagle built its aerie on the cliff.,Nest,Bird’s elevated nest,
Aerie,The aerie offered a panoramic mountain view.,High Place,Elevated dwelling site,
Aesthetic,The design follows a minimalist aesthetic.,Style,Principles of beauty,
Aesthetic,Her aesthetic preferences lean toward simplicity.,Taste,Sense of visual judgment,
Affidavit,The witness submitted a sworn affidavit.,Legal Statement,Written sworn testimony,
Affidavit,The affidavit confirmed his identity.,Document,Formal declaration,
Affinity,There is a strong affinity between the two ideas.,Connection,Natural similarity or attraction,
Affinity,Chemical affinity affects molecular bonding.,Chemistry,Tendency of substances to combine,
Agenda,The agenda lists meeting topics.,Schedule,Items for discussion.,
Agenda,Critics claimed a political agenda.,Hidden Objective,Underlying purpose.,
Agent,Water is the cleaning agent.,Substance,Something that causes an effect.,
Agent,The travel agent booked our tickets.,Representative,A person acting on behalf of others.,
Agent,Soap is a cleaning agent.,Substance,Something that causes an effect.,
Aggregate,Aggregate the survey responses.,Combine,To gather into a whole.,
Aggregate,Concrete contains aggregate.,Material,"Sand, gravel, or crushed stone.",
Agora,Ancient citizens gathered in the agora.,Marketplace,Public meeting space,
Agora,The agora served as a civic discussion area.,Forum,Open public square,
Agronomy,She studied agronomy at university.,Science,Soil and crop science,
Agronomy,Agronomy research improves crop yield.,Discipline,Agricultural science field,
Ailment,The patient suffered from a chronic ailment.,Illness,Medical condition,
Ailment,The tree showed signs of a fungal ailment.,Disorder,Biological disease,
Air,The balloon was filled with air.,Gas,The mixture of gases around earth.,
Air,The singer performed live on air.,Broadcast Medium,A system for transmitting programs.,
Air,Fresh air entered through the window.,Atmosphere,The gases surrounding the earth.,
Air,The channel will air the program tonight.,Broadcast,To transmit on television or radio.,
Airlock,The spacecraft used an airlock for entry.,Chamber,Sealed transition space,
Airlock,The diver passed through the airlock system.,Mechanism,Pressure-controlled passage,
Aisle,He walked down the grocery aisle.,Passageway,A walkway between rows.,
Aisle,The bride entered the aisle slowly.,Ceremonial Path,A central walkway in a church.,
Alarm,The alarm woke him early in the morning.,Warning Device,A signal that indicates danger or a scheduled event.,
Alarm,The building alarm was triggered by smoke.,Security System,A protective warning mechanism.,
Alarm,The alarm sounded during the test.,Signal,A notice of a possible problem.,
Alarm,The fire alarm sounded during class.,Warning Device,A device that signals danger or emergency.,
Alarm,The sudden noise caused alarm among the guests.,Fear,A feeling of concern or anxiety.,
Albatross,The albatross followed the ship across oceans.,Bird,Large seabird,
Albatross,The mistake became an emotional albatross for him.,Burden,Psychological weight,
Album,She listened to an album of songs.,Music Collection,A group of recorded songs.,
Album,The scientist created an album of photos.,Collection Book,A book for storing pictures.,
Alchemy,Medieval alchemy sought to transform metals.,Practice,Early chemical experimentation,
Alchemy,Their friendship felt like emotional alchemy.,Metaphor,Transformative process,
Alcove,She read quietly in the alcove.,Recess,Small recessed space,
Alcove,The garden alcove provided shade.,Sheltered Space,Tucked-in architectural niche,
Alder,The alder grows near riverbanks.,Tree,Deciduous tree species,
Alder,The alder wood was used for carving.,Material,Timber from alder tree,
Aleph,Aleph is the first letter in Hebrew script.,Symbol,Alphabetic character,
Aleph,"In mathematics, aleph denotes infinity levels.",Concept,Set theory symbol,
Alert,Authorities issued a flood alert.,Warning,A notice of possible danger.,
Alert,The guard remained alert overnight.,Attentive,Watchful and aware.,
Algae,Algae spread across the pond surface.,Organism,Simple aquatic plant-like life,
Algae,The algae bloom affected water clarity.,Biological Growth,Rapid microorganism expansion,
Algorithm,The search algorithm was updated.,Computing Procedure,Step-by-step problem-solving method.,
Algorithm,The teacher explained the algorithm.,Mathematical Process,Defined calculation procedure.,
Alias,The hacker used an alias online.,Assumed Name,A false or alternative name.,
Alias,"In SQL, AS creates an alias.",Alternate Identifier,Another name for a database object.,
Alignment,The wheels need alignment.,Positioning,Correct arrangement of parts.,
Alignment,The countries formed an alignment.,Alliance,Cooperative relationship.,
Allegory,The novel is an allegory of society.,Narrative,Symbolic story,
Allegory,The painting serves as an allegory of justice.,Representation,Symbolic depiction,
Allocation,Budget allocation increased.,Distribution,Assignment of resources.,
Allocation,Memory allocation failed.,Computing Reservation,Assignment of computer memory.,
Alloy,The engineer created an alloy from metals.,Mixture,A combination of metals.,
Alloy,The bracelet was made from an alloy.,Material,A metal mixture used in objects.,
Alloy,The bridge uses a strong alloy.,Material,Mixture of metals,
Alloy,The alloy improved resistance to heat.,Substance,Metallic combination,
Ally,The country became an ally in the treaty.,Partner,A nation cooperating with another.,
Ally,They chose to ally with the larger group.,Unite,To join forces with others.,
Altar,The priest stood near the altar during the ritual.,Sacred Structure,Religious table or platform,
